N,P,K,temperature,humidity,ph,rainfall,label
18.326,6.844,13.499,21.473,58.888,5.749,501,potato
21.806,8.06,13.396,21.328,60.072,5.759,501,potato
18.944,6.608,15.605,21.522,57.866,5.74,498,potato
21.744,6.781,15.853,21.692,57.845,5.754,500,potato
18.237,8.133,16.461,21.873,57.654,5.754,501,potato
18.132,7.393,14.381,21.318,60.146,5.75,498,potato
21.123,8.129,15.33,21.396,58.594,5.74,499,potato
18.074,6.551,14.262,21.27,58.296,5.751,501,potato
21.719,7.318,15.569,21.284,60.367,5.742,500,potato
20.803,7.287,15.008,21.644,58.462,5.761,499,potato
19.174,7.306,16.487,21.517,61.575,5.743,500,potato
21.833,6.625,15.987,21.997,60.582,5.761,500,potato
21.775,6.987,15.283,21.953,60.951,5.74,498,potato
20.635,8.354,14.873,21.421,61.084,5.753,499,potato
21.267,6.53,13.249,21.668,59.717,5.741,498,potato
18.405,6.595,14.356,21.327,59.207,5.744,498,potato
21.748,7.389,14.513,21.764,61.258,5.752,499,potato
19.2,6.659,14.959,21.642,59.183,5.758,501,potato
18.737,7.156,15.977,21.248,61.184,5.75,499,potato
21.499,7.46,13.34,21.056,57.713,5.757,501,potato
20.927,8.076,16.925,21.397,60.439,5.75,499,potato
21.435,7.154,14.761,21.664,61.833,5.744,498,potato
19.032,7.754,15.136,21.899,62.068,5.761,501,potato
20.856,7.533,16.654,21.34,60.264,5.755,500,potato
18.568,6.762,13.177,21.595,61.64,5.751,498,potato
20.316,7.254,16.745,21.445,58.287,5.759,501,potato
18.868,7.981,13.103,21.795,62.04,5.743,500,potato
21.13,6.663,14.764,21.841,59.734,5.751,501,potato
20.449,7.898,13.465,21.415,58.25,5.746,500,potato
19.743,7.139,14.212,21.054,59.035,5.744,498,potato
18.918,7.497,16.108,21.681,59.456,5.749,498,potato
20.208,7.175,15.265,21.571,57.683,5.752,501,potato
20.504,7.704,14.441,21.436,59.456,5.758,501,potato
18.074,7.024,16.2,21.781,59.067,5.746,501,potato
21.789,7.5,14.127,21.106,61.595,5.745,499,potato
20.263,7.274,16.913,21.377,60.303,5.757,501,potato
21.067,6.986,15.112,21.345,58.543,5.748,501,potato
20.489,6.527,13.081,21.72,60.65,5.743,498,potato
20.549,7.47,14.097,21.118,59.899,5.75,500,potato
20.751,7.642,14.896,21.672,61.584,5.762,498,potato
21.476,7.899,15.913,21.381,60.462,5.739,498,potato
19.642,6.727,15.83,21.778,59.368,5.75,500,potato
21.712,8.045,13.832,21.712,62.344,5.742,499,potato
20.341,7.568,15.873,21.028,57.661,5.743,501,potato
19.864,7.118,14.188,21.466,60.911,5.744,500,potato
19.115,8.345,16.075,21.908,58.182,5.755,500,potato
21.163,6.863,16.531,21.373,61.264,5.755,501,potato
18.07,6.957,14.291,21.862,59.996,5.76,498,potato
19.885,7.928,15.424,21.185,59.033,5.748,498,potato
19.1,7.319,16.569,21.834,59.556,5.752,498,potato
20.89,7.24,14.338,21.289,61.366,5.762,498,potato
19.353,6.712,13.428,21.219,59.711,5.758,500,potato
21.359,7.086,16.456,21.218,59.644,5.738,501,potato
18.552,7.273,14.588,21.445,61.098,5.746,501,potato
20.165,6.994,15.987,21.692,58.147,5.749,501,potato
19.688,8.009,15.656,21.344,60.83,5.749,499,potato
18.927,7.989,14.39,21.976,58.048,5.756,499,potato
21.184,7.928,14.536,21.31,61.928,5.738,500,potato
20.165,7.163,15.615,21.717,59.791,5.741,501,potato
19.332,7.035,16.23,21.86,58.875,5.759,499,potato
21.929,7.85,15.241,21.459,57.783,5.76,498,potato
18.916,7.782,14.324,21.509,62.004,5.741,500,potato
19.061,6.824,14.157,21.021,62.42,5.753,501,potato
20.7,7.217,14.603,21.694,61.354,5.759,500,potato
20.848,6.63,14.396,21.149,60.955,5.741,498,potato
20.615,6.745,16.716,21.189,59.032,5.738,501,potato
19.619,8.21,15.676,21.567,60.158,5.762,499,potato
19.868,7.241,14.497,21.919,61.307,5.743,500,potato
16.776,8.942,16.652,24.495,67.08,6.247,900,cucumber
14.839,8.13,14.062,24.298,66.163,6.245,900,cucumber
14.54,8.227,16.574,24.33,63.527,6.245,900,cucumber
16.879,8.108,16.776,24.537,66.444,6.258,900,cucumber
15.705,7.586,16.328,24.374,63.01,6.245,898,cucumber
13.633,8.106,14.485,24.551,63.566,6.244,899,cucumber
14.51,8.892,13.358,24.213,65.33,6.251,899,cucumber
13.27,7.2,13.049,24.377,65.226,6.259,899,cucumber
14.625,7.707,16.068,24.94,66.301,6.261,898,cucumber
14.73,8.844,13.515,24.929,65.105,6.248,899,cucumber
14.331,8.841,13.798,24.746,62.635,6.25,900,cucumber
13.572,8.153,14.882,24.068,65.842,6.241,900,cucumber
13.017,7.945,14.688,24.243,63.257,6.248,899,cucumber
16.658,7.556,14.733,24.019,64.582,6.245,901,cucumber
16.362,8.089,14.46,24.768,65.832,6.257,900,cucumber
13.083,8.0,16.204,24.62,62.71,6.26,900,cucumber
15.117,7.974,14.748,24.984,66.773,6.243,898,cucumber
16.486,7.971,13.477,24.75,62.778,6.25,898,cucumber
15.689,7.199,14.633,24.443,63.222,6.258,900,cucumber
13.954,8.395,14.747,24.905,63.57,6.257,900,cucumber
14.355,7.977,13.709,24.959,63.212,6.257,900,cucumber
15.267,8.955,13.537,24.722,65.304,6.256,898,cucumber
13.117,7.733,15.958,24.463,63.057,6.259,898,cucumber
16.279,8.794,15.669,24.656,66.447,6.244,898,cucumber
15.966,8.234,14.005,24.253,62.542,6.258,900,cucumber
15.404,8.701,13.282,24.166,65.521,6.241,898,cucumber
16.149,8.095,14.026,24.864,64.16,6.257,898,cucumber
14.505,7.121,16.755,24.629,65.71,6.25,901,cucumber
13.907,8.144,16.634,24.754,67.454,6.245,898,cucumber
15.601,7.759,15.177,24.83,63.455,6.25,898,cucumber
14.38,7.908,13.996,24.197,64.247,6.26,898,cucumber
15.673,8.045,13.986,24.875,63.236,6.242,899,cucumber
15.617,8.246,14.237,24.483,64.425,6.254,899,cucumber
14.397,7.725,13.69,24.387,63.969,6.254,901,cucumber
13.844,8.179,14.792,24.812,63.959,6.252,898,cucumber
16.271,8.32,15.481,24.986,67.192,6.243,900,cucumber
15.953,8.905,15.203,24.787,64.609,6.259,901,cucumber
14.571,7.97,14.716,24.652,65.057,6.239,899,cucumber
15.984,7.735,16.746,24.823,65.116,6.241,898,cucumber
16.797,7.58,16.046,24.966,63.43,6.261,901,cucumber
13.222,7.731,16.943,24.529,64.425,6.238,899,cucumber
13.633,8.639,16.552,24.83,66.694,6.262,898,cucumber
15.229,7.648,14.04,24.847,64.86,6.258,899,cucumber
15.516,8.05,14.133,24.703,63.334,6.247,901,cucumber
15.033,8.81,14.72,24.459,64.434,6.261,900,cucumber
15.415,7.033,13.81,24.246,63.013,6.251,900,cucumber
14.8,7.576,16.043,24.032,64.496,6.245,900,cucumber
16.934,8.383,13.129,24.762,65.174,6.253,899,cucumber
13.774,8.58,13.759,24.395,64.902,6.246,898,cucumber
13.496,8.579,14.395,24.693,64.087,6.257,901,cucumber
16.808,7.161,14.207,24.093,62.769,6.252,898,cucumber
14.904,7.619,16.066,24.805,65.384,6.255,901,cucumber
16.1,8.545,15.664,24.709,66.748,6.258,901,cucumber
13.748,7.962,14.368,24.592,66.357,6.238,901,cucumber
14.663,7.802,15.137,24.867,66.241,6.243,899,cucumber
16.336,8.726,16.81,24.946,62.548,6.262,900,cucumber
14.464,7.786,16.447,24.674,64.636,6.259,900,cucumber
13.614,7.642,14.909,24.115,64.369,6.246,899,cucumber
14.29,8.417,15.119,24.201,66.644,6.248,899,cucumber
13.402,7.321,14.347,24.528,65.499,6.241,899,cucumber
16.35,7.804,13.472,24.377,66.886,6.25,900,cucumber
14.296,8.165,16.005,24.06,62.648,6.242,899,cucumber
14.948,8.533,13.647,24.21,62.963,6.255,898,cucumber
14.668,7.26,15.895,24.607,65.831,6.254,899,cucumber
14.665,7.432,13.031,24.396,63.665,6.249,898,cucumber
15.744,7.354,15.832,24.14,63.819,6.243,901,cucumber
16.652,8.531,13.838,24.458,65.764,6.249,899,cucumber
14.966,7.488,15.819,24.751,64.513,6.244,900,cucumber
16.735,7.972,14.447,24.412,65.154,6.25,900,cucumber
14.128,8.781,13.694,24.17,67.386,6.243,898,cucumber
16.17,8.671,14.739,24.445,65.383,6.255,899,cucumber
14.266,8.205,16.094,24.632,64.341,6.259,899,cucumber
14.1,8.453,14.353,24.196,62.593,6.242,899,cucumber
15.012,8.106,16.247,24.361,67.073,6.252,901,cucumber
16.512,8.566,14.741,24.222,63.108,6.262,900,cucumber
15.174,8.566,13.365,24.538,65.928,6.246,899,cucumber
14.107,8.658,14.083,24.083,66.613,6.244,898,cucumber
16.107,7.746,14.415,24.16,65.066,6.241,901,cucumber
13.489,8.064,15.3,24.056,65.441,6.254,901,cucumber
15.091,8.33,13.902,24.624,64.433,6.25,901,cucumber
15.467,8.638,14.817,24.559,67.09,6.261,898,cucumber
13.643,8.424,13.834,24.245,67.282,6.24,899,cucumber
15.107,7.441,15.414,24.389,63.777,6.239,901,cucumber
15.349,7.701,13.738,24.605,62.61,6.238,899,cucumber
16.845,8.102,13.868,24.627,65.543,6.249,901,cucumber
13.726,7.221,13.33,24.331,66.13,6.253,900,cucumber
15.24,8.874,15.223,24.291,62.573,6.262,901,cucumber
13.614,8.836,14.152,24.892,63.959,6.244,901,cucumber
15.263,7.762,14.669,24.003,64.664,6.251,901,cucumber
13.348,8.82,15.133,24.636,63.805,6.253,899,cucumber
16.678,7.813,15.213,24.551,64.386,6.257,899,cucumber
14.626,7.684,16.114,24.387,64.473,6.24,901,cucumber
13.187,8.98,14.123,24.141,64.816,6.259,898,cucumber
15.825,8.383,13.051,24.229,65.644,6.242,901,cucumber
16.605,8.631,15.688,24.371,67.387,6.258,898,cucumber
14.506,8.579,15.814,24.28,64.871,6.254,901,cucumber
15.246,8.202,13.685,24.813,66.27,6.247,899,cucumber
16.815,7.322,16.103,24.417,62.774,6.259,899,cucumber
14.717,8.735,16.074,24.796,65.074,6.261,900,cucumber
15.271,7.327,15.349,24.54,66.646,6.258,901,cucumber
26.77,14.05,26.537,24.256,61.625,5.999,648,bell pepper
25.379,14.028,24.588,23.613,61.873,6.01,651,bell pepper
26.891,15.187,25.351,24.051,59.295,6.008,650,bell pepper
26.395,14.57,23.478,24.191,60.082,6.005,648,bell pepper
26.398,14.154,26.053,23.897,61.806,5.998,650,bell pepper
26.324,14.169,23.058,23.875,61.011,6.002,649,bell pepper
25.214,15.324,23.809,24.412,58.028,5.992,648,bell pepper
24.6,14.413,25.451,23.828,57.809,6.003,651,bell pepper
25.833,14.407,26.193,24.319,59.185,5.99,651,bell pepper
26.235,15.497,24.754,24.267,60.135,5.997,649,bell pepper
25.077,14.501,24.303,23.852,60.234,6.004,650,bell pepper
26.399,15.759,25.291,24.012,60.962,6.012,649,bell pepper
23.355,15.641,24.645,24.13,60.424,6.003,650,bell pepper
23.016,15.667,23.155,23.562,59.04,5.992,650,bell pepper
23.814,15.232,23.243,23.721,61.265,5.996,651,bell pepper
24.077,15.488,24.562,23.861,59.655,6.008,648,bell pepper
23.531,15.148,25.095,24.411,60.525,6.012,649,bell pepper
23.587,15.099,26.634,24.031,58.676,6.01,649,bell pepper
24.721,14.07,23.316,24.089,59.345,6.004,651,bell pepper
25.32,14.997,23.132,24.253,58.107,6.006,650,bell pepper
25.444,14.625,23.864,24.044,60.965,6.009,648,bell pepper
26.904,14.825,24.186,23.63,61.884,6.007,651,bell pepper
24.761,15.531,25.922,24.046,62.016,6.0,648,bell pepper
26.196,15.768,23.625,23.697,58.41,6.003,648,bell pepper
25.46,15.717,24.251,23.688,58.662,6.01,649,bell pepper
23.045,14.953,23.903,23.76,57.694,5.989,650,bell pepper
26.78,15.339,26.378,23.673,62.048,6.012,648,bell pepper
24.694,15.833,23.552,24.438,60.383,6.002,648,bell pepper
23.522,15.437,23.773,23.762,61.498,5.994,651,bell pepper
23.728,15.557,25.703,24.369,61.483,6.002,650,bell pepper
25.447,14.62,23.745,23.57,58.162,6.01,648,bell pepper
26.89,15.386,26.462,23.757,60.849,5.998,649,bell pepper
23.294,15.969,24.414,23.963,57.863,5.99,649,bell pepper
26.818,14.875,24.845,23.505,60.188,6.003,648,bell pepper
24.959,14.684,23.347,23.59,60.308,5.993,648,bell pepper
25.937,14.936,26.854,24.116,58.649,5.989,648,bell pepper
26.472,15.853,24.187,23.851,60.627,6.004,649,bell pepper
26.823,15.832,25.079,23.959,61.124,5.997,649,bell pepper
23.47,15.778,23.602,24.374,59.466,6.005,650,bell pepper
26.819,14.019,25.016,24.287,59.046,6.009,650,bell pepper
24.461,15.492,26.209,24.115,59.516,5.989,648,bell pepper
23.968,15.826,25.939,24.173,61.692,5.989,649,bell pepper
24.023,15.896,26.885,23.931,59.504,5.999,649,bell pepper
23.781,15.721,26.048,24.026,59.407,5.996,648,bell pepper
25.142,15.035,26.103,23.706,59.779,5.999,651,bell pepper
25.802,15.111,24.581,23.717,60.402,5.997,648,bell pepper
25.009,14.657,25.77,24.069,60.576,6.01,650,bell pepper
25.571,15.945,25.003,23.879,60.085,6.002,649,bell pepper
26.476,15.787,25.092,23.883,59.215,6.001,648,bell pepper
24.993,15.498,23.326,23.842,60.731,6.012,651,bell pepper
24.892,14.026,26.513,23.693,58.854,6.002,650,bell pepper
25.744,14.154,23.63,23.93,62.114,5.998,649,bell pepper
23.351,14.242,26.831,23.687,58.954,6.007,649,bell pepper
24.633,15.153,23.582,23.511,61.874,6.01,649,bell pepper
25.838,15.919,25.183,23.734,60.406,6.0,649,bell pepper
23.152,15.262,24.392,23.621,60.036,5.991,648,bell pepper
25.701,15.768,23.833,24.009,58.735,6.001,651,bell pepper
26.615,15.025,23.844,24.079,60.187,5.993,649,bell pepper
24.103,14.016,25.444,24.08,62.124,5.995,649,bell pepper
23.861,14.562,25.336,24.373,61.55,6.012,651,bell pepper
24.405,14.466,25.56,23.869,61.88,6.007,650,bell pepper
25.133,14.449,23.475,24.29,57.829,6.008,648,bell pepper
24.893,15.54,26.088,24.399,58.118,5.996,650,bell pepper
23.826,14.67,25.001,23.901,60.688,6.0,650,bell pepper
25.531,15.444,25.79,24.032,60.449,6.004,648,bell pepper
24.936,14.668,24.947,24.211,58.088,6.004,650,bell pepper
26.743,14.554,25.216,23.631,62.422,6.006,651,bell pepper
23.391,14.124,24.333,24.112,62.031,5.989,649,bell pepper
24.594,15.549,25.814,24.325,62.345,6.009,649,bell pepper
23.323,14.41,26.21,23.77,62.247,6.001,649,bell pepper
25.832,15.741,24.496,24.232,57.792,5.999,648,bell pepper
23.935,14.351,24.926,24.275,61.561,5.99,650,bell pepper
23.934,15.66,26.251,23.934,59.175,5.99,650,bell pepper
25.146,15.289,25.688,23.832,59.172,5.995,650,bell pepper
25.76,14.612,25.806,24.262,59.506,5.995,650,bell pepper
26.894,14.349,23.53,23.643,60.059,5.991,651,bell pepper
26.657,15.215,24.821,23.568,59.992,6.004,650,bell pepper
26.761,14.198,24.871,24.428,57.606,6.008,649,bell pepper
24.824,15.387,25.861,23.825,58.964,6.01,650,bell pepper
23.285,14.25,25.456,23.82,59.33,5.993,648,bell pepper
23.546,15.563,26.351,24.218,58.383,6.008,651,bell pepper
24.84,14.323,26.665,23.859,60.798,6.01,650,bell pepper
24.2,15.857,24.885,23.768,60.785,5.991,651,bell pepper
23.359,15.028,25.688,23.947,59.822,5.989,650,bell pepper
25.055,15.45,26.697,24.413,59.694,6.012,651,bell pepper
26.419,15.169,25.863,23.636,59.976,6.004,649,bell pepper
23.688,15.784,23.619,23.882,59.914,6.003,649,bell pepper
26.099,14.48,25.269,23.912,57.609,5.999,651,bell pepper
25.255,15.395,25.649,24.465,59.966,5.993,649,bell pepper
25.153,15.052,25.185,23.855,62.43,5.999,648,bell pepper
26.43,15.175,26.396,23.71,59.559,5.995,650,bell pepper
23.974,15.975,26.812,24.373,59.283,5.994,649,bell pepper
23.172,14.294,23.431,24.088,60.924,6.0,648,bell pepper
24.626,15.446,23.28,24.005,58.027,5.999,650,bell pepper
25.401,14.684,26.437,23.633,59.572,6.0,649,bell pepper
25.987,14.39,23.061,23.508,57.525,6.006,649,bell pepper
26.176,15.683,23.129,23.825,60.811,5.997,648,bell pepper
24.152,14.113,26.655,24.441,61.855,6.011,649,bell pepper
23.545,14.918,25.96,23.916,59.547,5.992,648,bell pepper
26.104,15.774,23.509,23.969,61.201,5.991,650,bell pepper
25.761,10.172,16.98,30.018,66.227,6.309,701,okra
24.528,10.603,13.398,30.386,65.977,6.31,701,okra
25.723,9.199,16.386,30.131,65.662,6.308,699,okra
25.126,9.723,13.299,29.614,63.321,6.294,700,okra
26.983,9.458,13.114,30.107,63.717,6.3,701,okra
24.233,9.031,14.075,29.695,64.841,6.3,700,okra
26.815,9.535,14.299,30.405,67.379,6.3,699,okra
26.752,9.877,16.066,30.293,63.844,6.293,700,okra
23.034,9.268,13.72,29.787,64.778,6.298,698,okra
25.803,10.734,16.876,30.143,67.387,6.293,699,okra
25.946,9.817,13.512,30.177,65.08,6.288,699,okra
23.853,10.805,15.804,29.91,65.305,6.307,700,okra
26.416,9.604,14.856,30.399,66.864,6.296,698,okra
26.264,10.846,15.286,30.313,62.561,6.298,700,okra
24.847,9.251,15.505,29.752,63.498,6.304,698,okra
25.673,10.334,14.249,29.987,64.758,6.289,698,okra
24.42,9.707,14.102,29.869,64.557,6.308,701,okra
23.091,9.849,14.318,29.745,65.501,6.304,701,okra
24.87,10.159,16.253,29.984,65.683,6.3,698,okra
26.801,9.219,15.052,30.193,62.515,6.303,700,okra
23.701,10.652,15.805,29.598,62.821,6.305,701,okra
26.475,10.365,14.699,29.612,64.263,6.3,699,okra
23.042,9.859,13.88,29.909,64.8,6.303,699,okra
24.457,9.69,16.081,29.684,67.017,6.302,699,okra
24.648,10.314,15.257,30.319,65.857,6.288,698,okra
26.774,10.868,15.55,30.11,63.693,6.291,698,okra
23.125,10.15,16.68,29.651,63.079,6.31,698,okra
26.499,10.532,14.509,29.983,63.401,6.309,701,okra
25.717,10.576,14.68,30.384,62.537,6.298,701,okra
23.021,10.598,16.971,29.786,63.175,6.311,698,okra
26.141,10.163,13.919,30.484,63.785,6.301,699,okra
23.296,10.713,15.331,29.66,64.404,6.298,700,okra
26.888,10.536,16.807,29.581,66.3,6.289,698,okra
26.284,10.198,14.205,29.791,66.919,6.303,700,okra
26.636,9.561,16.739,29.541,65.821,6.302,699,okra
24.9,9.446,15.124,30.383,65.549,6.307,699,okra
23.307,9.422,15.211,30.415,65.226,6.304,698,okra
24.656,9.172,15.614,30.165,65.766,6.301,701,okra
26.832,9.396,14.093,30.194,67.174,6.296,699,okra
23.41,9.249,15.654,29.948,66.762,6.294,699,okra
23.902,9.456,16.827,30.283,66.956,6.29,701,okra
24.22,10.0,13.245,30.234,63.801,6.304,698,okra
24.773,10.497,16.242,30.457,63.835,6.29,698,okra
24.1,10.516,16.69,29.884,66.707,6.299,699,okra
26.122,10.491,13.69,29.978,65.666,6.304,698,okra
23.18,9.085,15.08,30.004,64.905,6.3,700,okra
24.026,10.538,14.391,29.89,66.586,6.303,698,okra
23.157,9.987,14.886,30.445,63.115,6.292,698,okra
23.937,10.563,13.306,30.067,62.558,6.298,701,okra
24.997,9.451,13.104,29.836,64.896,6.297,699,okra
25.291,9.152,16.136,30.184,65.74,6.297,698,okra
26.018,9.701,15.484,30.433,64.827,6.289,700,okra
25.997,10.543,13.962,30.183,62.844,6.304,699,okra
26.26,9.31,14.759,29.705,63.128,6.294,699,okra
23.65,9.855,13.85,30.369,66.404,6.298,699,okra
25.562,10.887,13.512,29.946,62.849,6.304,700,okra
25.881,9.723,13.862,30.037,62.555,6.299,699,okra
25.689,10.739,15.03,30.044,64.762,6.293,700,okra
26.941,9.181,15.385,30.313,64.036,6.3,698,okra
25.14,10.298,16.848,29.691,66.419,6.299,700,okra
